Estado,Año,Concepto,Aprobado,Devengado
"Aguascalientes","2022","PODER LEGISLATIVO","212266500.00","225766500.00"
"Aguascalientes","2022","PODER JUDICIAL","559120000.00","568936066.16"
"Aguascalientes","2022","DESPACHO DEL EJECUTIVO ESTATAL","129358400.00","138617501.10"
"Aguascalientes","2022","COORDINACIÓN GENERAL DE GABINETE","20634900.00","20299283.44"
"Aguascalientes","2022","SECRETARÍA GENERAL DE GOBIERNO","531493500.00","438921486.90"
"Aguascalientes","2022","SECRETARÍA DE SEGURIDAD PÚBLICA","1148599300.00","1037307314.58"
"Aguascalientes","2022","SECRETARÍA DE FINANZAS","963834900.00","700076145.91"
"Aguascalientes","2022","SECRETARÍA DE DESARROLLO ECONÓMICO","137685800.00","199864601.12"
"Aguascalientes","2022","SECRETARÍA DE SALUD","1128100.00","878698.80"
"Aguascalientes","2022","SECRETARÍA DE SUSTENTABILIDAD, MEDIO AMBIENTE Y AGUA","103191600.00","99901986.72"
"Aguascalientes","2022","SECRETARÍA DE GESTIÓN URBANÍSTICA, ORDENAMIENTO TERRITORIAL, REGISTRAL Y CATASTRAL","100638000.00","68547293.84"
"Aguascalientes","2022","SECRETARÍA DE DESARROLLO SOCIAL","256163800.00","281460308.24"
"Aguascalientes","2022","SECRETARÍA DE OBRAS PÚBLICAS","778168500.00","1540040616.61"
"Aguascalientes","2022","SECRETARÍA DE DESARROLLO RURAL Y AGROEMPRESARIAL","164228100.00","163951525.68"
"Aguascalientes","2022","SECRETARÍA DE TURISMO","103291800.00","103222095.35"
"Aguascalientes","2022","COORDINACIÓN GENERAL DE PLANEACIÓN Y PROYECTOS","0.00","16340829.25"
"Aguascalientes","2022","SECRETARÍA DE ADMINISTRACIÓN","180257800.00","150436441.37"
"Aguascalientes","2022","CONTRALORÍA DEL ESTADO","66807800.00","70600749.43"
"Aguascalientes","2022","COORDINACIÓN GENERAL DE MOVILIDAD","424110900.00","110029168.69"
"Aguascalientes","2022","INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES","20157100.00","21447395.98"
"Aguascalientes","2022","SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA","347780300.00","364172705.49"
"Aguascalientes","2022","INSTITUTO DE ASESORÍA Y DEFENSORÍA PÚBLICA DEL ESTADO DE AGUASCALIENTES","33381600.00","33381600.00"
"Aguascalientes","2022","INSTITUTO AGUASCALENTENSE DE LAS MUJERES","23962700.00","34589506.50"
"Aguascalientes","2022","INSTITUTO AGUASCALENTENSE DE LA JUVENTUD","17012500.00","19901200.00"
"Aguascalientes","2022","INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO","0.00","10197325.00"
"Aguascalientes","2022","PROCURADURÍA ESTATAL DE PROTECCIÓN AL AMBIENTE","6715600.00","6715600.00"
"Aguascalientes","2022","INSTITUTO DEL AGUA DEL ESTADO","263001900.00","364633534.27"
"Aguascalientes","2022","PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS","11600000.00","66748167.00"
"Aguascalientes","2022","INSTITUTO DE EDUCACIÓN DE AGUASCALIENTES","7450853900.00","7960852125.56"
"Aguascalientes","2022","COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE AGUASCALIENTES.","364200000.00","368286039.00"
"Aguascalientes","2022","ESCUELA NORMAL DE AGUASCALIENTES","20831800.00","21394731.16"
"Aguascalientes","2022","INSTITUTO PARA LA EDUCACIÓN DE LAS PERSONAS JÓVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES","67160000.00","70846470.19"
"Aguascalientes","2022","COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE AGUASCALIENTES.","93155000.00","104649395.72"
"Aguascalientes","2022","UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES","1377058000.00","1434841903.77"
"Aguascalientes","2022","UNIVERSIDAD TECNOLÓGICA DE AGUASCALIENTES","108732400.00","127696520.20"
"Aguascalientes","2022","UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES","68372600.00","74466271.48"
"Aguascalientes","2022","UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES","56000000.00","77078749.79"
"Aguascalientes","2022","INSTITUTOS TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES","0.00","5000000.00"
"Aguascalientes","2022","INSTITUTO CULTURAL DE AGUASCALIENTES","252948300.00","291907238.15"
"Aguascalientes","2022","INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES","176549300.00","227483993.00"
"Aguascalientes","2022","RADIO Y TELEVISIÓN DE AGUASCALIENTES","70148400.00","71679044.13"
"Aguascalientes","2022","UNIVERSIDAD TECNOLÓGICA METROPOLITANA DE AGUASCALIENTES","13810500.00","17949489.86"
"Aguascalientes","2022","INSTITUTO DE CAPACITACIÓN PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES","61000000.00","63297545.80"
"Aguascalientes","2022","INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES","3385272200.00","3787430468.77"
"Aguascalientes","2022","COMISIÓN ESTATAL DE ARBITRAJE MEDICO","6852200.00","6852200.00"
"Aguascalientes","2022","UNIVERSIDAD TECNOLÓGICA EL RETOÑO","33140600.00","37855805.64"
"Aguascalientes","2022","UNIVERSIDAD TECNOLÓGICA DE CALVILLO","17169600.00","18930219.15"
"Aguascalientes","2022","INSTITUTO DE INFRAESTRUCTURA FÍSICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES.","274130700.00","301175841.42"
