Estado,Año,Código,Dependencia,Aprobado,Devengado,Observaciones
Aguascalientes,2018,CA1,PODER LEGISLATIVO,183935000.00,205245000.00,x
Aguascalientes,2018,CA2,PODER JUDICIAL,400099000.00,406632000.00,x
Aguascalientes,2018,CA3,DESPACHO DEL EJECUTIVO ESTATAL,84959000.00,88689000.00,x
Aguascalientes,2018,CA4,COORDINACIÓN GENERAL DE GABINETE,36346000.00,35097000.00,x
Aguascalientes,2018,CA5,SECRETARÍA GENERAL DE GOBIERNO,338433000.00,339074000.00,x
Aguascalientes,2018,CA6,SECRETARÍA DE SEGURIDAD PÚBLICA,688547000.00,614650000.00,x
Aguascalientes,2018,CA7,SECRETARÍA DE FINANZAS,438316000.00,447583000.00,x
Aguascalientes,2018,CA8,SECRETARÍA DE DESARROLLO ECONÓMICO,101273000.00,124821000.00,x
Aguascalientes,2018,CA9,SECRETARÍA DE SALUD,1039000.00,0.00,x
Aguascalientes,2018,CA10,"SECRETARÍA DE SUSTENTABILIDAD, MEDIO AMBIENTE Y AGUA",83983000.00,114287000.00,x
Aguascalientes,2018,CA11,"SECRETARÍA DE GESTIÓN URBANÍSTICA, ORDENAMIENTO TERRITORIAL, REGISTRAL Y CATASTRAL",62146000.00,75550000.00,x
Aguascalientes,2018,CA12,SECRETARÍA DE DESARROLLO SOCIAL,129869000.00,151673000.00,x
Aguascalientes,2018,CA13,SECRETARÍA DE OBRAS PÚBLICAS,1191347000.00,1666974000.00,x
Aguascalientes,2018,CA14,SECRETARÍA DE DESARROLLO RURAL Y AGROEMPRESARIAL,130250000.00,153308000.00,x
Aguascalientes,2018,CA15,SECRETARÍA DE TURISMO,43330000.00,49711000.00,x
Aguascalientes,2018,CA16,COORDINACIÓN GENERAL DE PLANEACIÓN Y PROYECTOS,27975000.00,32898000.00,x
Aguascalientes,2018,CA17,SECRETARÍA DE ADMINISTRACIÓN,120164000.00,126403000.00,x
Aguascalientes,2018,CA18,CONTRALORÍA DEL ESTADO,35628000.00,30446000.00,x
Aguascalientes,2018,CA19,COORDINACIÓN GENERAL DE MOVILIDAD,21230000.00,23358000.00,x
Aguascalientes,2018,CA20,INSTITUTO ESTATAL DE SEGURIDAD PÚBLICA DE AGUASCALIENTES,21626000.00,22489000.00,x
Aguascalientes,2018,CA21,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS SERVIDORES PÚBLICOS DEL ESTADO DE AGUASCALIENTES,526826000.00,0.00,x
Aguascalientes,2018,CA22,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,257896000.00,275808000.00,x
Aguascalientes,2018,CA23,INSTITUTO DE ASESORÍA Y DEFENSORÍA PÚBLICA DEL ESTADO DE AGUASCALIENTES,24868000.00,26013000.00,x
Aguascalientes,2018,CA24,INSTITUTO AGUASCALENTENSE DE LAS MUJERES,9909000.00,18049000.00,x
Aguascalientes,2018,CA25,INSTITUTO AGUASCALENTENSE DE LA JUVENTUD,14952000.00,15462000.00,x
Aguascalientes,2018,CA26,INSTITUTO DE VIVIENDA SOCIAL Y ORDENAMIENTO DE LA PROPIEDAD DEL ESTADO,124408000.00,124752000.00,x
Aguascalientes,2018,CA27,PROCURADURÍA ESTATAL DE PROTECCIÓN AL AMBIENTE,23300000.00,6269000.00,x
Aguascalientes,2018,CA28,INSTITUTO DEL AGUA DEL ESTADO,117600000.00,97176000.00,x
Aguascalientes,2018,CA29,INSTITUTO PARA EL DESARROLLO DE LA SOCIEDAD DEL CONOCIMIENTO DEL ESTADO DE AGUASCALIENTES,44869000.00,68662000.00,x
Aguascalientes,2018,CA30,PATRONATO DE LA FERIA NACIONAL DE SAN MARCOS,80900000.00,18600000.00,x
Aguascalientes,2018,CA31,INSTITUTO DE EDUCACIÓN DE AGUASCALIENTES,6428982000.00,7431273000.00,x
Aguascalientes,2018,CA32,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE AGUASCALIENTES.,175993000.00,316014000.00,x
Aguascalientes,2018,CA33,ESCUELA NORMAL DE AGUASCALIENTES,27533000.00,17634000.00,x
Aguascalientes,2018,CA34,INSTITUTO PARA LA EDUCACIÓN DE LAS PERSONAS JÓVENES Y ADULTAS DEL ESTADO DE AGUASCALIENTES,55175000.00,64010000.00,x
Aguascalientes,2018,CA35,COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE AGUASCALIENTES.,95305000.00,84222000.00,x
Aguascalientes,2018,CA36,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,389584000.00,1285801000.00,x
Aguascalientes,2018,CA37,UNIVERSIDAD TECNOLÓGICA DE AGUASCALIENTES,75034000.00,64275000.00,x
Aguascalientes,2018,CA38,UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES,52989000.00,31838000.00,x
Aguascalientes,2018,CA39,UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES,67559000.00,24938000.00,x
Aguascalientes,2018,CA40,INSTITUTOS TECNOLOGICOS DEL ESTADO DE AGUASCALIENTES,0.00,19500000.00,x
Aguascalientes,2018,CA41,INSTITUTO CULTURAL DE AGUASCALIENTES,255825000.00,256671000.00,x
Aguascalientes,2018,CA42,INSTITUTO DEL DEPORTE DEL ESTADO DE AGUASCALIENTES,145668000.00,196051000.00,x
Aguascalientes,2018,CA43,RADIO Y TELEVISIÓN DE AGUASCALIENTES,38382000.00,43815000.00,x
Aguascalientes,2018,CA44,UNIVERSIDAD TECNOLÓGICA METROPOLITANA DE AGUASCALIENTES,0.00,500000.00,x
Aguascalientes,2018,CA45,INSTITUTO DE CAPACITACIÓN PARA EL TRABAJO DEL ESTADO DE AGUASCALIENTES,23520000.00,47008000.00,x
Aguascalientes,2018,CA46,INSTITUTO DE SERVICIOS DE SALUD DEL ESTADO DE AGUASCALIENTES,2327698000.00,2653587000.00,x
Aguascalientes,2018,CA47,COMISIÓN ESTATAL DE ARBITRAJE MEDICO,4995000.00,4995000.00,x
Aguascalientes,2018,CA48,UNIVERSIDAD TECNOLÓGICA EL RETOÑO,18923000.00,13000000.00,x
Aguascalientes,2018,CA49,UNIVERSIDAD TECNOLÓGICA DE CALVILLO,10220000.00,8573000.00,x
Aguascalientes,2018,CA50,CENTRO DE COMPETITIVIDAD E INNOVACION DEL ESTADO DE AGUASCALIENTES,7284000.00,7312000.00,x
Aguascalientes,2018,CA51,ORGANO IMPLEMENTADOR DEL SISTEMA DE JUSTICIA PENAL EN EL ESTADO DE AGUASCALIENTES,6359000.00,6354000.00,x
Aguascalientes,2018,CA52,INSTITUTO ESTATAL DE GESTION EMPRESARIAL Y MEJORA REGULATORIA,7994000.00,7987000.00,x
Aguascalientes,2018,CA53,RÉGIMEN ESTATAL DE PROTECCIÓN SOCIAL EN SALUD DEL ESTADO DE AGUASCALIENTES,62031000.00,349405000.00,x
Aguascalientes,2018,CA54,INSTITUTO DE INFRAESTRUCTURA FÍSICA EDUCATIVA DEL ESTADO DE AGUASCALIENTES.,236186000.00,264538000.00,x
Aguascalientes,2018,CA55,CENTRO DE CONCILIACIÓN LABORAL DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2018,CA56,INSTITUTO DE PLANEACIÓN DEL ESTADO DE AGUASCALIENTES,0.00,0.00,x
Aguascalientes,2018,CA57,MUNICIPIO DE AGUASCALIENTES,2051904000.00,2213238000.00,x
Aguascalientes,2018,CA58,MUNICIPIO DE ASIENTOS,137014000.00,164010000.00,x
Aguascalientes,2018,CA59,MUNICIPIO DE CALVILLO,186884000.00,301409000.00,x
Aguascalientes,2018,CA60,MUNICIPIO DE COSÍO,88472000.00,109142000.00,x
Aguascalientes,2018,CA61,MUNICIPIO DE EL LLANO,91709000.00,134635000.00,x
Aguascalientes,2018,CA62,MUNICIPIO DE JESÚS MARÍA,249561000.00,301512000.00,x
Aguascalientes,2018,CA63,MUNICIPIO DE PABELLÓN DE ARTEAGA,118314000.00,227867000.00,x
Aguascalientes,2018,CA64,MUNICIPIO DE RINCÓN DE ROMOS,160002000.00,213965000.00,x
Aguascalientes,2018,CA65,MUNICIPIO DE SAN FRANCISCO DE LOS ROMO,130876000.00,173344000.00,x
Aguascalientes,2018,CA66,MUNICIPIO DE SAN JOSÉ DE GRACIA,104458000.00,127205000.00,x
Aguascalientes,2018,CA67,MUNICIPIO DE TEPEZALÁ,89094000.00,114559000.00,x
Aguascalientes,2018,CA68,INSTITUTO ESTATAL ELECTORAL,144652000.00,144281000.00,x
Aguascalientes,2018,CA69,COMISIÓN ESTATAL DE DERECHOS HUMANOS,18387000.00,18193000.00,x
Aguascalientes,2018,CA70,INSTITUTO DE TRANSPARENCIA DEL ESTADO DE AGUASCALIENTES,21587000.00,21536000.00,x
Aguascalientes,2018,CA71,ÓRGANO SUPERIOR DE FISCALIZACIÓN,28969000.00,29011000.00,x
Aguascalientes,2018,CA72,FISCALÍA GENERAL DEL ESTADO DE AGUASCALIENTES,443663000.00,439487000.00,x
Aguascalientes,2018,CA73,TRIBUNAL ELECTORAL DEL ESTADO,14760000.00,17760000.00,x
Aguascalientes,2018,CA74,SECRETARÍA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCIÓN,0.00,9300000.00,x
Aguascalientes,2018,CA75,EMPRESAS DE PARTICIPACIÓN ESTATAL MAYORITARIA,18500000.00,0.00,x
Aguascalientes,2018,CA76,FIDEICOMISOS PÚBLICOS,410678000.00,649629000.00,x
Aguascalientes,2018,CA77,ORGANISMOS NO GUBERNAMENTALES,44154000.00,50047000.00,x
Aguascalientes,2018,CA78,ENTIDAD O DELEGACIÓN FEDERAL,5043000.00,4453000.00,x
Aguascalientes,2018,CA79,PREVISIONES ECONÓMICAS,197443000.00,0.00,x
Aguascalientes,2018,CA80,DEUDA PÚBLICA,324159000.00,331447000.00,x
Aguascalientes,2018,CA81,SECRETARÍA DE LA FAMILIA,0.00,0.00,x
