Estado,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Aguascalientes,2018,CFG,Gobierno,3481167000.00,3418357000.00,x
Aguascalientes,2018,CFG1,Legislación,249767000.00,264342000.00,x
Aguascalientes,2018,CFG2,Justicia,1111918000.00,1114690000.00,x
Aguascalientes,2018,CFG3,Coordinación de la Política de Gobierno,422404000.00,460984000.00,x
Aguascalientes,2018,CFG4,Relaciones Exteriores,2000000.00,1880000.00,x
Aguascalientes,2018,CFG5,Asuntos Financieros y Hacendarios,428030000.00,421712000.00,x
Aguascalientes,2018,CFG6,Seguridad Nacional,0.00,0.00,x
Aguascalientes,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,680397000.00,772585000.00,x
Aguascalientes,2018,CFG8,Otros Servicios Generales,586651000.00,382164000.00,x
Aguascalientes,2018,CFDS,Desarrollo Social,12332138000.00,15158896000.00,x
Aguascalientes,2018,CFDS1,Protección Ambiental,224883000.00,270428000.00,x
Aguascalientes,2018,CFDS2,Vivienda y Servicios a la Comunidad,407467000.00,939155000.00,x
Aguascalientes,2018,CFDS3,Salud,2544553000.00,3061702000.00,x
Aguascalientes,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",509499000.00,550316000.00,x
Aguascalientes,2018,CFDS5,Educación,7682214000.00,9838048000.00,x
Aguascalientes,2018,CFDS6,Protección Social,761288000.00,406926000.00,x
Aguascalientes,2018,CFDS7,Otros Asuntos Sociales,202234000.00,92321000.00,x
Aguascalientes,2018,CFDE,Desarrollo Económico,1413794000.00,1691515000.00,x
Aguascalientes,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",436585000.00,406726000.00,x
Aguascalientes,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",132133000.00,162860000.00,x
Aguascalientes,2018,CFDE3,Combustibles y Energía,10000000.00,0.00,x
Aguascalientes,2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,10050000.00,x
Aguascalientes,2018,CFDE5,Transporte,514626000.00,871519000.00,x
Aguascalientes,2018,CFDE6,Comunicaciones,0.00,0.00,x
Aguascalientes,2018,CFDE7,Turismo,222035000.00,123838000.00,x
Aguascalientes,2018,CFDE8,"Ciencia, Tecnología e Innovación",74895000.00,86875000.00,x
Aguascalientes,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,23520000.00,29647000.00,x
Aguascalientes,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,3732447000.00,4086243000.00,x
Aguascalientes,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,324159000.00,332199000.00,x
Aguascalientes,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",3408288000.00,3595524000.00,x
Aguascalientes,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,2238000.00,x
Aguascalientes,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,0.00,156282000.00,x
