Estado,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Aguascalientes,2018,COG01,Servicios Personales               ,1299194000.00,1191740000.00,x
Aguascalientes,2018,COG11,Remuneraciones al Personal  de Carácter Permanente,686931000.00,602781000.00,x
Aguascalientes,2018,COG12,Remuneraciones al Personal  de Carácter Transitorio,0.00,13809000.00,x
Aguascalientes,2018,COG13,Remuneraciones Adicionales y Especiales,351686000.00,324458000.00,x
Aguascalientes,2018,COG14,Seguridad Social,199164000.00,179539000.00,x
Aguascalientes,2018,COG15,Otras Prestaciones Sociales y Económicas,56870000.00,66010000.00,x
Aguascalientes,2018,COG16,Previsiones,0.00,0.00,x
Aguascalientes,2018,COG17,Pago de Estímulos a Servidores Públicos,4543000.00,5143000.00,x
Aguascalientes,2018,COG02,Materiales y Suministros           ,222870000.00,260917000.00,x
Aguascalientes,2018,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",113997000.00,110812000.00,x
Aguascalientes,2018,COG22,Alimentos y Utensilios,41427000.00,44465000.00,x
Aguascalientes,2018,COG23,Materias Primas y Materiales de Producción y Comercialización,2000.00,0.00,x
Aguascalientes,2018,COG24,Materiales y Artículos de Construcción y Reparación,3118000.00,8298000.00,x
Aguascalientes,2018,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",622000.00,3438000.00,x
Aguascalientes,2018,COG26,"Combustibles, Lubricantes y Aditivos",55235000.00,57553000.00,x
Aguascalientes,2018,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",4234000.00,26167000.00,x
Aguascalientes,2018,COG28,Materiales y Suministros para Seguridad,1000.00,5825000.00,x
Aguascalientes,2018,COG29,"Herramientas, Refacciones y Accesorios Menores",4234000.00,4359000.00,x
Aguascalientes,2018,COG03,Servicios Generales                ,478253000.00,608639000.00,x
Aguascalientes,2018,COG31,Servicios Básicos,30069000.00,37353000.00,x
Aguascalientes,2018,COG32,Servicios de Arrendamiento,26316000.00,41833000.00,x
Aguascalientes,2018,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",218522000.00,196541000.00,x
Aguascalientes,2018,COG34,"Servicios Financieros, Bancarios y Comerciales",37087000.00,50084000.00,x
Aguascalientes,2018,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",50491000.00,159876000.00,x
Aguascalientes,2018,COG36,Servicios de Comunicación Social y Publicidad,62538000.00,69183000.00,x
Aguascalientes,2018,COG37,Servicios de Traslados y Viáticos,8029000.00,7641000.00,x
Aguascalientes,2018,COG38,Servicios Oficiales,21197000.00,22674000.00,x
Aguascalientes,2018,COG39,Otros Servicios Generales,24004000.00,23454000.00,x
Aguascalientes,2018,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",12973202000.00,14909499000.00,x
Aguascalientes,2018,COG41,Transferencias Internas y Asignaciones del Sector Público,12270304000.00,14723909000.00,x
Aguascalientes,2018,COG42,Transferencias al Resto del Sector Público,18500000.00,7259000.00,x
Aguascalientes,2018,COG43,Subsidios y Subvenciones,108319000.00,1885000.00,x
Aguascalientes,2018,COG44,Ayudas Sociales,11500000.00,152637000.00,x
Aguascalientes,2018,COG45,Pensiones y Jubilaciones,526826000.00,0.00,x
Aguascalientes,2018,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",37753000.00,23809000.00,x
Aguascalientes,2018,COG47,Transferencias a la Seguridad Social,0.00,0.00,x
Aguascalientes,2018,COG48,Donativos,0.00,0.00,x
Aguascalientes,2018,COG49,Transferencias al Exterior,0.00,0.00,x
Aguascalientes,2018,COG05,"Bienes Muebles, Inmuebles e Intangibles",30000000.00,138217000.00,x
Aguascalientes,2018,COG51,Mobiliario y Equipo de Administración,10700000.00,33238000.00,x
