Estado,Año,Codigo,Concepto,Aprobado,Devengado,Observaciones
Aguascalientes,2018,EAA,Impuestos,800915000,1061607831,x
Aguascalientes,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Aguascalientes,2018,EAC,Contribuciones de Mejoras,0,0,x
Aguascalientes,2018,EAD,Derechos,575219000,710483865,x
Aguascalientes,2018,EAE,Productos,77862000,214177879,x
Aguascalientes,2018,EAF,Aprovechamientos,584963000,1233728864,x
Aguascalientes,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0,0,x
Aguascalientes,2018,EAH,Participaciones,7891410000,8720027940,x
Aguascalientes,2018,EAH1,Fondo General de Participaciones,6143032000,6677897787,x
Aguascalientes,2018,EAH2,Fondo de Fomento Municipal,574407000,618602244,x
Aguascalientes,2018,EAH3,Fondo de Fiscalización y Recaudación,292142000,329532076,x
Aguascalientes,2018,EAH4,Fondo de Compensación,0,0,x
Aguascalientes,2018,EAH5,Fondo de Extracción de hidrocarburos,0,0,x
Aguascalientes,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,110377000,160565519,x
Aguascalientes,2018,EAH7,0.136% de la Recaudación Federal Participable,0,0,x
Aguascalientes,2018,EAH8,3.17% Sobre Extracción de Petroleo,0,0,x
Aguascalientes,2018,EAH9,Gasolinas y Diésel,281130000,268575351,x
Aguascalientes,2018,EAH10,Fondo de Impuesto Sobre la Renta,490322000,664854963,x
Aguascalientes,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0,0,x
Aguascalientes,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,336623000,499493397,x
Aguascalientes,2018,EAI1,Tenencia o Uso de Vehículos,80000,387464,x
Aguascalientes,2018,EAI2,Fondo de Compensación ISAN,19580738,25386686,x
Aguascalientes,2018,EAI3,Impuesto Sobre Automóviles Nuevos,91192262,146562658,x
Aguascalientes,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,22979244,22262265,x
Aguascalientes,2018,EAI5,Otros Incentivos Económicos,202790756,304894324,x
Aguascalientes,2018,EAJ,Transferencias,0,0,x
Aguascalientes,2018,EAK,Convenios,0,0,x
Aguascalientes,2018,EAK1,Otros Convenios y Subsidios,0,0,x
Aguascalientes,2018,EAL,Otros Ingresos de Libre Disposición ,0,0,x
Aguascalientes,2018,EAL1,Participaciones en Ingresos Locales,0,0,x
Aguascalientes,2018,EAL2,Otros Ingresos en Libre Disposición,0,0,x
Aguascalientes,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,10266992000,12439519776,x
Aguascalientes,2018,EAM,Aportaciones,9233219000,9840903498,x
Aguascalientes,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,5665669000,6184578972,x
Aguascalientes,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,1532032000,1562857992,x
Aguascalientes,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,396501000,320429265,x
Aguascalientes,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,778329000,784823092,x
Aguascalientes,2018,EAM5,Fondo de Aportaciones Múltiples,313021000,429795285,x
Aguascalientes,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,102944000,111426779,x
Aguascalientes,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,110097000,118838800,x
Aguascalientes,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,334626000,328153313,x
Aguascalientes,2018,EAN,Convenios,0,3618086825,x
Aguascalientes,2018,EAN1,Convenios de Protección Social en Salud,0,596537982,x
Aguascalientes,2018,EAN2,Convenios de Descentralización,0,3021548843,x
Aguascalientes,2018,EAN3,Convenios de Reasignación,0,0,x
Aguascalientes,2018,EAN4,Otros Convenios y Subsidios,0,0,x
Aguascalientes,2018,EAO,Fondos Distintos de Aportaciones ,0,0,x
Aguascalientes,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0,0,x
