Estado,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Aguascalientes,2018,EAA,Impuestos,800915000.00,1061607831.00,x
Aguascalientes,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Aguascalientes,2018,EAC,Contribuciones de Mejoras,0.00,0.00,x
Aguascalientes,2018,EAD,Derechos,575219000.00,710483865.00,x
Aguascalientes,2018,EAE,Productos,77862000.00,214177879.00,x
Aguascalientes,2018,EAF,Aprovechamientos,584963000.00,1233728864.00,x
Aguascalientes,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,x
Aguascalientes,2018,EAH,Participaciones,7891410000.00,8720027940.00,x
Aguascalientes,2018,EAH1,Fondo General de Participaciones,6143032000.00,6677897787.00,x
Aguascalientes,2018,EAH2,Fondo de Fomento Municipal,574407000.00,618602244.00,x
Aguascalientes,2018,EAH3,Fondo de Fiscalización y Recaudación,292142000.00,329532076.00,x
Aguascalientes,2018,EAH4,Fondo de Compensación,0.00,0.00,x
Aguascalientes,2018,EAH5,Fondo de Extracción de hidrocarburos,0.00,0.00,x
Aguascalientes,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,110377000.00,160565519.00,x
Aguascalientes,2018,EAH7,0.136% de la Recaudación Federal Participable,0.00,0.00,x
Aguascalientes,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Aguascalientes,2018,EAH9,Gasolinas y Diésel,281130000.00,268575351.00,x
Aguascalientes,2018,EAH10,Fondo de Impuesto Sobre la Renta,490322000.00,664854963.00,x
Aguascalientes,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Aguascalientes,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,336623000.00,499493397.00,x
Aguascalientes,2018,EAI1,Tenencia o Uso de Vehículos,80000.00,387464.00,x
Aguascalientes,2018,EAI2,Fondo de Compensación ISAN,19580738.00,25386686.00,x
Aguascalientes,2018,EAI3,Impuesto Sobre Automóviles Nuevos,91192262.00,146562658.00,x
Aguascalientes,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,22979244.00,22262265.00,x
Aguascalientes,2018,EAI5,Otros Incentivos Económicos,202790756.00,304894324.00,x
Aguascalientes,2018,EAJ,Transferencias,0.00,0.00,x
Aguascalientes,2018,EAK,Convenios,0.00,0.00,x
Aguascalientes,2018,EAK1,Otros Convenios y Subsidios,0.00,0.00,x
Aguascalientes,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,0.00,x
Aguascalientes,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Aguascalientes,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,0.00,x
Aguascalientes,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,10266992000.00,12439519776.00,x
Aguascalientes,2018,EAM,Aportaciones,9233219000.00,9840903498.00,x
