Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Acapulco de Juarez,2018,EAA,Impuestos,538334278.8,720703993.5,x
Acapulco de Juarez,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Acapulco de Juarez,2018,EAC,Contribuciones de Mejoras,0,0,x
Acapulco de Juarez,2018,EAD,Derechos,226023658,233684906.1,x
Acapulco de Juarez,2018,EAE,Productos,6095550.38,5594199.52,x
Acapulco de Juarez,2018,EAF,Aprovechamientos,83650511.93,82582066.5,x
Acapulco de Juarez,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0,0,x
Acapulco de Juarez,2018,EAH,Participaciones,1042690033,1134508148,x
Acapulco de Juarez,2018,EAH1,Fondo General de Participaciones,647425799,737040011.6,x
Acapulco de Juarez,2018,EAH2,Fondo de Fomento Municipal,137644988.6,189974007,x
Acapulco de Juarez,2018,EAH3,Fondo de Fiscalización y Recaudación,32138626,38503461.71,x
Acapulco de Juarez,2018,EAH4,Fondo de Compensación,0,39073419.56,x
Acapulco de Juarez,2018,EAH5,Fondo de Extracción de hidrocarburos,0,0,x
Acapulco de Juarez,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,0,11559740.69,x
Acapulco de Juarez,2018,EAH7,0.136% de la Recaudación Federal Participable,3267163.86,4431853,x
Acapulco de Juarez,2018,EAH8,3.17% Sobre Extracción de Petroleo,0,0,x
Acapulco de Juarez,2018,EAH9,Gasolinas y Diésel,111831881,82522759.69,x
Acapulco de Juarez,2018,EAH10,Fondo de Impuesto Sobre la Renta,110381574.6,31402895,x
Acapulco de Juarez,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0,0,x
Acapulco de Juarez,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,16164668.11,16361776.35,x
Acapulco de Juarez,2018,EAI1,Tenencia o Uso de Vehículos,7873878.81,2854548.53,x
Acapulco de Juarez,2018,EAI2,Fondo de Compensación ISAN,7210410.1,1132592.92,x
Acapulco de Juarez,2018,EAI3,Impuesto Sobre Automóviles Nuevos,1080379.2,3793295.15,x
Acapulco de Juarez,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,0,0,x
Acapulco de Juarez,2018,EAI5,Otros Incentivos Económicos,0,8581339.75,x
Acapulco de Juarez,2018,EAJ,Transferencias,0,0,x
Acapulco de Juarez,2018,EAK,Convenios,25744299.81,160000000,x
Acapulco de Juarez,2018,EAK1,Otros Convenios y Subsidios,25744299.81,160000000,x
Acapulco de Juarez,2018,EAL,Otros Ingresos de Libre Disposición ,0,0,x
Acapulco de Juarez,2018,EAL1,Participaciones en Ingresos Locales,0,0,x
Acapulco de Juarez,2018,EAL2,Otros Ingresos en Libre Disposición,0,0,x
Acapulco de Juarez,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,1938703000,2353435090,x
Acapulco de Juarez,2018,EAM,Aportaciones,990055999.9,1076085581,x
Acapulco de Juarez,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,0,0,x
Acapulco de Juarez,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,0,0,x
Acapulco de Juarez,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,542831631.8,585006804.1,x
Acapulco de Juarez,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,447224368.1,491078777,x
Acapulco de Juarez,2018,EAM5,Fondo de Aportaciones Múltiples,0,0,x
Acapulco de Juarez,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,0,0,x
Acapulco de Juarez,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,0,0,x
Acapulco de Juarez,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,0,0,x
Acapulco de Juarez,2018,EAN,Convenios,95552000,100884723.5,x
Acapulco de Juarez,2018,EAN1,Convenios de Protección Social en Salud,0,0,x
Acapulco de Juarez,2018,EAN2,Convenios de Descentralización,0,0,x
Acapulco de Juarez,2018,EAN3,Convenios de Reasignación,0,0,x
Acapulco de Juarez,2018,EAN4,Otros Convenios y Subsidios,95552000,100884723.5,x
Acapulco de Juarez,2018,EAO,Fondos Distintos de Aportaciones ,0,0,x
Acapulco de Juarez,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0,0,x
Acapulco de Juarez,2018,EAO2,Fondo Minero,0,0,x
Acapulco de Juarez,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0,0,x
Acapulco de Juarez,2018,EAQ,Otras Transferencias Federales Etiquetadas,0,0,x
Acapulco de Juarez,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,1085608000,1176970305,x
Acapulco de Juarez,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0,180000000,x
Acapulco de Juarez,2018,EAR1,Ingresos Derivados de Financiamientos,0,180000000,x
Acapulco de Juarez,2018,EATOTAL,TOTAL DE LOS INGRESOS,3024311000,3710405395,x
Aguascalientes,2018,EAA,Impuestos,405764320,496346733,x
Aguascalientes,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0,0,x
Aguascalientes,2018,EAC,Contribuciones de Mejoras,520000,269594,x
Aguascalientes,2018,EAD,Derechos,479457359,516245150,x
Aguascalientes,2018,EAE,Productos,4201600,50407269,x
Aguascalientes,2018,EAF,Aprovechamientos,26696800,43289419,x
Aguascalientes,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0,0,x
Aguascalientes,2018,EAH,Participaciones,1352667997,1433560626,x
Aguascalientes,2018,EAH1,Fondo General de Participaciones,821409000,888562766,x
Aguascalientes,2018,EAH2,Fondo de Fomento Municipal,382362998,386477637,x
Aguascalientes,2018,EAH3,Fondo de Fiscalización y Recaudación,38669999,41699014,x
Aguascalientes,2018,EAH4,Fondo de Compensación,0,0,x
Aguascalientes,2018,EAH5,Fondo de Extracción de hidrocarburos,0,0,x
Aguascalientes,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,13276000,17092054,x
Aguascalientes,2018,EAH7,0.136% de la Recaudación Federal Participable,0,0,x
Aguascalientes,2018,EAH8,3.17% Sobre Extracción de Petroleo,0,0,x
Aguascalientes,2018,EAH9,Gasolinas y Diésel,30571000,33452812,x
Aguascalientes,2018,EAH10,Fondo de Impuesto Sobre la Renta,66379000,66276343,x
Aguascalientes,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0,0,x
Aguascalientes,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,15265005,22834054,x
Aguascalientes,2018,EAI1,Tenencia o Uso de Vehículos,413008,960678,x
Aguascalientes,2018,EAI2,Fondo de Compensación ISAN,13292998,19162334,x
Aguascalientes,2018,EAI3,Impuesto Sobre Automóviles Nuevos,0,0,x
Aguascalientes,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,0,0,x
Aguascalientes,2018,EAI5,Otros Incentivos Económicos,1558999,2711042,x
Aguascalientes,2018,EAJ,Transferencias,0,200000,x
Aguascalientes,2018,EAK,Convenios,0,0,x
Aguascalientes,2018,EAK1,Otros Convenios y Subsidios,0,0,x
Aguascalientes,2018,EAL,Otros Ingresos de Libre Disposición ,0,874875,x
Aguascalientes,2018,EAL1,Participaciones en Ingresos Locales,0,0,x
Aguascalientes,2018,EAL2,Otros Ingresos en Libre Disposición,0,874875,x
Aguascalientes,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,2284573081,2564027720,x
Aguascalientes,2018,EAM,Aportaciones,668667998,646373857,x
Aguascalientes,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,0,0,x
Aguascalientes,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,0,0,x
Aguascalientes,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,148501003,121869970,x
Aguascalientes,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,520166995,524503887,x
Aguascalientes,2018,EAM5,Fondo de Aportaciones Múltiples,0,0,x
Aguascalientes,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,0,0,x
Aguascalientes,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,0,0,x
Aguascalientes,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,0,0,x
Aguascalientes,2018,EAN,Convenios,83550000,109885768,x
Aguascalientes,2018,EAN1,Convenios de Protección Social en Salud,0,0,x
Aguascalientes,2018,EAN2,Convenios de Descentralización,0,0,x
Aguascalientes,2018,EAN3,Convenios de Reasignación,0,0,x
Aguascalientes,2018,EAN4,Otros Convenios y Subsidios,83550000,109885768,x
Aguascalientes,2018,EAO,Fondos Distintos de Aportaciones ,0,0,x
Aguascalientes,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0,0,x
Aguascalientes,2018,EAO2,Fondo Minero,0,0,x
Aguascalientes,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0,0,x
