Municipio,Año,Código,Activo,Concepto,Aprobado,Devengado,Observaciones
Acapulco de Juarez,2021,CA01,x,Presidencia,105719195.7,80795097.08,x
Acapulco de Juarez,2021,CA02,x,Sindicatura Municipal,22197063.79,18423479.26,x
Acapulco de Juarez,2021,CA03,x,Regidurías,161121550.2,182892487.5,x
Acapulco de Juarez,2021,CA04,x,Secretaría General,297100136.8,254451781.4,x
Acapulco de Juarez,2021,CA05,x,Secretaría de Administración y Finanzas,708652262.1,763430409.8,x
Acapulco de Juarez,2021,CA06,x,Secretaría de Desarrollo Urbano y Obras Públicas,610931286.9,720743108.7,x
Acapulco de Juarez,2021,CA07,x,Secretaría de Desarrollo Social,114694203.8,129572059.8,x
Acapulco de Juarez,2021,CA08,x,Secretaría de Seguridad Pública,447008566.9,461526020.5,x
Acapulco de Juarez,2021,CA09,x,Contraloría General de Transparencia y Modernización Administrativa,20023236.53,23202233.98,x
Acapulco de Juarez,2021,CA10,x,Coordinación General de Servicios Públicos Municipales,632246575.2,617287323.2,x
Acapulco de Juarez,2021,CA11,x,Secretaría de Turismo,21341966.54,26952736.7,x
Acapulco de Juarez,2021,CA12,x,Dirección General de Salud,150046914.5,102633561.5,x
Acapulco de Juarez,2021,CA13,x,Secretaría de Planeación y Desarrollo Económico,146170655.1,90067714.18,x
Acapulco de Juarez,2021,CA14,x,DIF Municipal,98500000,114053902.9,x
Acapulco de Juarez,2021,CA15,x,Dirección General de Ecología y Protección al Medio Ambiente,19738077.63,22895729.88,x
Acapulco de Juarez,2021,CA16,x,Instituto MunicipaI de la Mujer,8495310.43,7547580.49,x
Acapulco de Juarez,2021,CA17,x,Coordinación General de La Zona Turística,1675762.54,1800633.42,x
Acapulco de Juarez,2021,CA18,x,Deuda Pública,286028135.1,330258828.5,x
Acapulco de Juarez,2021,CA19,x,ADEFAS,0,0,x
Acapulco de Juarez,2021,CA20,x,Sanamiento financiero,0,0,x
Acapulco de Juarez,2021,CATOT,x,Total del gasto,3851690900,3948534689,x
Acapulco de Juarez,2020,CA01,x,Presidencia,135057246.4,150135408.8,x
Acapulco de Juarez,2020,CA02,x,Sindicatura Municipal,23442058.14,22324442.01,x
Acapulco de Juarez,2020,CA03,x,Regidurías,125564501.9,146419917.9,x
Acapulco de Juarez,2020,CA04,x,Secretaría General,260381792.5,261004842,x
Acapulco de Juarez,2020,CA05,x,Secretaría de Administración y Finanzas,728367517.1,600098824.3,x
Acapulco de Juarez,2020,CA06,x,Secretaría de Desarrollo Urbano y Obras Públicas,615953701.4,723935011,x
Acapulco de Juarez,2020,CA07,x,Secretaría de Desarrollo Social,112604611.9,108272198.3,x
Acapulco de Juarez,2020,CA08,x,Secretaría de Seguridad Pública,476738766.9,562606687.8,x
Acapulco de Juarez,2020,CA09,x,Contraloría General de Transparencia y Modernización Administrativa,23955081.88,23566527.78,x
Acapulco de Juarez,2020,CA10,x,Coordinación General de Servicios Públicos Municipales,629490817.4,543481101.6,x
Acapulco de Juarez,2020,CA11,x,Secretaría de Turismo,15161965.68,22510400.93,x
Acapulco de Juarez,2020,CA12,x,Dirección General de Salud,111815913.7,95103447.77,x
Acapulco de Juarez,2020,CA13,x,Secretaría de Planeación y Desarrollo Económico,203348865.2,105568389,x
Acapulco de Juarez,2020,CA14,x,DIF Municipal,112470979.4,70616494.92,x
Acapulco de Juarez,2020,CA15,x,Dirección General de Ecología y Protección al Medio Ambiente,14713169.4,19325614.35,x
Acapulco de Juarez,2020,CA16,x,Instituto MunicipaI de la Mujer,7151983.8,7237893.84,x
Acapulco de Juarez,2020,CA17,x,Deuda Pública,165027879.1,287311367.5,x
Acapulco de Juarez,2020,CA18,x,ADEFAS,36000000,47835501.58,x
Acapulco de Juarez,2020,CA19,x,Sanamiento financiero,0,0,x
Acapulco de Juarez,2020,CA20,x,Coordinación General de La Zona Turística,0,0,x
Acapulco de Juarez,2020,CATOT,x,Total del gasto,3797246852,3797354071,x
Acapulco de Juarez,2019,CA01,x,Presidencia,85668326.2,96222310.41,x
Acapulco de Juarez,2019,CA02,x,Sindicatura Municipal,26226922.81,21448152.47,x
Acapulco de Juarez,2019,CA03,x,Regidurías,125422084.1,122912043.3,x
Acapulco de Juarez,2019,CA04,x,Secretaría General,263864713.1,277322628.5,x
Acapulco de Juarez,2019,CA05,x,Secretaría de Administración y Finanzas,479370754.2,717232469.5,x
Acapulco de Juarez,2019,CA06,x,Secretaría de Desarrollo Urbano y Obras Públicas,688928623.2,612134166.5,x
Acapulco de Juarez,2019,CA07,x,Secretaría de Desarrollo Social,152064038.4,109665622.5,x
Acapulco de Juarez,2019,CA08,x,Secretaría de Seguridad Pública,564715413.9,558645026.7,x
Acapulco de Juarez,2019,CA09,x,Contraloría General de Transparencia y Modernización Administrativa,26322397.42,26761753.47,x
Acapulco de Juarez,2019,CA10,x,Coordinación General de Servicios Públicos Municipales,586302703.5,618897729.6,x
Acapulco de Juarez,2019,CA11,x,Secretaría de Turismo,24090925.88,25839547.64,x
Acapulco de Juarez,2019,CA12,x,Dirección General de Salud,102953947.2,86491060.52,x
Acapulco de Juarez,2019,CA13,x,Secretaría de Planeación y Desarrollo Económico,110606159.4,107890594.6,x
Acapulco de Juarez,2019,CA14,x,DIF Municipal,110000000,128883861.1,x
Acapulco de Juarez,2019,CA15,x,Dirección General de Ecología y Protección al Medio Ambiente,15616154.21,17027123.56,x
Acapulco de Juarez,2019,CA16,x,Instituto MunicipaI de la Mujer,5728651.6,7251109.31,x
Acapulco de Juarez,2019,CA17,x,Deuda Pública,87060909.35,277489237.5,x
Acapulco de Juarez,2019,CA18,x,ADEFAS,28565809.46,24461477.89,x
Acapulco de Juarez,2019,CATOT,x,Total del gasto,3483508534,3836575915,x
Acapulco de Juarez,2018,CA01,x,Presidencia,103252533.6,88763235.89,x
Acapulco de Juarez,2018,CA02,x,Sindicatura Municipal,27830639.06,23817824.61,x
Acapulco de Juarez,2018,CA03,x,Regidurías,129451949.2,141207168.5,x
Acapulco de Juarez,2018,CA04,x,Secretaría General,177775789.3,168501138.5,x
Acapulco de Juarez,2018,CA05,x,Secretaría de Administración y Finanzas,704617533.1,662666231.8,x
Acapulco de Juarez,2018,CA06,x,Secretaría de Desarrollo Urbano y Obras Públicas,553866571.7,516704248.1,x
Acapulco de Juarez,2018,CA07,x,Secretaría de Desarrollo Social,175210876.3,131567545.5,x
Acapulco de Juarez,2018,CA08,x,Secretaría de Seguridad Pública,596007367.3,527368524.7,x
Acapulco de Juarez,2018,CA09,x,Contraloría General de Transparencia y Modernización Administrativa,26611374.13,24114137.56,x
Acapulco de Juarez,2018,CA10,x,Coordinación General de Servicios Públicos Municipales,657510241.6,488308806.6,x
Acapulco de Juarez,2018,CA11,x,Secretaría de Turismo,29515636.95,20859522.26,x
Acapulco de Juarez,2018,CA12,x,Dirección General de Salud,99202443.72,92122463.26,x
Acapulco de Juarez,2018,CA13,x,Secretaría de Planeación y Desarrollo Económico,153169757.9,137694779.9,x
Acapulco de Juarez,2018,CA14,x,DIF Municipal,107612896,115132242.1,x
Acapulco de Juarez,2018,CA15,x,Dirección General de Ecología y Protección al Medio Ambiente,16419798.56,14452813.99,x
Acapulco de Juarez,2018,CA16,x,Instituto MunicipaI de la Mujer,8440589.83,3372471.09,x
Acapulco de Juarez,2018,CA17,x,Deuda Pública,275657538.3,288797619,x
Acapulco de Juarez,2018,CA18,x,ADEFAS,166337105,148074412.8,x
Acapulco de Juarez,2018,CA19,x,Sanamiento financiero,0,0,x
Acapulco de Juarez,2018,CA20,x,Coordinación General de La Zona Turística,25613208.85,26098644.77,x
Acapulco de Juarez,2018,CATOT,x,Total del gasto,4034103850,3619623831,x
Aguascalientes,2021,CA01,x,H. AYUNTAMIENTO,72982740,81100399,x
Aguascalientes,2021,CA02,x,PRESIDENCIA MUNICIPAL,169179032,162782113,x
Aguascalientes,2021,CA03,x,SECRETARÍA DE COMUNICACION SOCIAL,58487624,56032749,x
Aguascalientes,2021,CA04,x,ÓRGANO INTERNO DE CONTROL,17791802,22740173,x
Aguascalientes,2021,CA05,x,SECRETARÍA DEL H.AYUNTAMIENTO Y DIRECCIÓN GENERAL DE GOBIERNO,183277025,181438662,x
Aguascalientes,2021,CA06,x,SECRETARIA DE FINANZAS PUBLICAS,177846947,107621317,x
Aguascalientes,2021,CA07,x,SECRETARIA DE OBRAS PUBLICAS,397063232,410346558,x
Aguascalientes,2021,CA08,x,SECRETARIA DE ADMINISTRACION,198213956,297867647,x
