Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Acapulco de Juarez,2022,CA1,Presidencia,101550155.68,127155873.22,x
Acapulco de Juarez,2022,CA2,Sindicatura Municipal,18271227.79,19028224.01,x
Acapulco de Juarez,2022,CA3,Regidurías,160687464.58,196400664.94,x
Acapulco de Juarez,2022,CA4,Secretaría General,235290511.26,244525293.90,x
Acapulco de Juarez,2022,CA5,Secretaría de Administración y Finanzas,586643577.59,596091328.08,x
Acapulco de Juarez,2022,CA6,Secretaría de Desarrollo Urbano y Obras Públicas,716313818.47,796406380.85,x
Acapulco de Juarez,2022,CA7,Secretaría de Bienestar y Desarrollo Comunitario,164081723.41,172452533.66,x
Acapulco de Juarez,2022,CA8,Secretaría de Seguridad Pública,578443155.54,581647773.58,x
Acapulco de Juarez,2022,CA9,Órgano de control interno,22134798.00,22827513.72,x
Acapulco de Juarez,2022,CA10,Coordinación General de Servicios Públicos Municipales,581686809.18,713921629.80,x
Acapulco de Juarez,2022,CA11,Secretaría de Turismo,37483340.55,37492014.38,x
Acapulco de Juarez,2022,CA12,Dirección General de Salud,88036565.02,96301293.42,x
Acapulco de Juarez,2022,CA13,Secretaría de Planeación y Desarrollo Económico,153206110.64,138038189.56,x
Acapulco de Juarez,2022,CA14,DIF Municipal,100000000.00,126652579.93,x
Acapulco de Juarez,2022,CA15,Dirección General de Ecología y Protección al Medio Ambiente,24435596.75,25989533.55,x
Acapulco de Juarez,2022,CA16,Instituto MunicipaI de la Mujer,12207613.92,10750980.06,x
Acapulco de Juarez,2022,CA17,Deuda Pública,275544913.01,453529167.50,x
Acapulco de Juarez,2022,CA18,Coordinación General de Movilidad y Transporte,15289738.51,11319974.73,x
Acapulco de Juarez,2022,CATOT,Total del gasto,3871307119.90,4370530948.89,x
Acapulco de Juarez,2021,CA01,Presidencia,105719195.72,80795097.08,x
Acapulco de Juarez,2021,CA02,Sindicatura Municipal,22197063.79,18423479.26,x
Acapulco de Juarez,2021,CA03,Regidurías,161121550.15,182892487.47,x
Acapulco de Juarez,2021,CA04,Secretaría General,297100136.79,254451781.44,x
Acapulco de Juarez,2021,CA05,Secretaría de Administración y Finanzas,708652262.10,763430409.78,x
Acapulco de Juarez,2021,CA06,Secretaría de Desarrollo Urbano y Obras Públicas,610931286.90,720743108.70,x
Acapulco de Juarez,2021,CA07,Secretaría de Desarrollo Social,114694203.83,129572059.84,x
Acapulco de Juarez,2021,CA08,Secretaría de Seguridad Pública,447008566.93,461526020.54,x
Acapulco de Juarez,2021,CA09,Contraloría General de Transparencia y Modernización Administrativa,20023236.53,23202233.98,x
Acapulco de Juarez,2021,CA10,Coordinación General de Servicios Públicos Municipales,632246575.20,617287323.24,x
Acapulco de Juarez,2021,CA11,Secretaría de Turismo,21341966.54,26952736.70,x
Acapulco de Juarez,2021,CA12,Dirección General de Salud,150046914.52,102633561.54,x
Acapulco de Juarez,2021,CA13,Secretaría de Planeación y Desarrollo Económico,146170655.08,90067714.18,x
Acapulco de Juarez,2021,CA14,DIF Municipal,98500000.00,114053902.94,x
Acapulco de Juarez,2021,CA15,Dirección General de Ecología y Protección al Medio Ambiente,19738077.63,22895729.88,x
Acapulco de Juarez,2021,CA16,Instituto MunicipaI de la Mujer,8495310.43,7547580.49,x
Acapulco de Juarez,2021,CA17,Coordinación General de La Zona Turística,1675762.54,1800633.42,x
Acapulco de Juarez,2021,CA18,Deuda Pública,286028135.09,330258828.52,x
Acapulco de Juarez,2021,CA19,ADEFAS,0.00,0.00,x
Acapulco de Juarez,2021,CA20,Sanamiento financiero,0.00,0.00,x
Acapulco de Juarez,2021,CATOT,Total del gasto,3851690899.77,3948534689.00,x
Acapulco de Juarez,2020,CA01,Presidencia,135057246.40,150135408.84,x
Acapulco de Juarez,2020,CA02,Sindicatura Municipal,23442058.14,22324442.01,x
Acapulco de Juarez,2020,CA03,Regidurías,125564501.87,146419917.94,x
Acapulco de Juarez,2020,CA04,Secretaría General,260381792.48,261004842.04,x
Acapulco de Juarez,2020,CA05,Secretaría de Administración y Finanzas,728367517.07,600098824.31,x
Acapulco de Juarez,2020,CA06,Secretaría de Desarrollo Urbano y Obras Públicas,615953701.43,723935010.96,x
Acapulco de Juarez,2020,CA07,Secretaría de Desarrollo Social,112604611.88,108272198.25,x
Acapulco de Juarez,2020,CA08,Secretaría de Seguridad Pública,476738766.87,562606687.78,x
Acapulco de Juarez,2020,CA09,Contraloría General de Transparencia y Modernización Administrativa,23955081.88,23566527.78,x
Acapulco de Juarez,2020,CA10,Coordinación General de Servicios Públicos Municipales,629490817.39,543481101.63,x
Acapulco de Juarez,2020,CA11,Secretaría de Turismo,15161965.68,22510400.93,x
Acapulco de Juarez,2020,CA12,Dirección General de Salud,111815913.72,95103447.77,x
Acapulco de Juarez,2020,CA13,Secretaría de Planeación y Desarrollo Económico,203348865.19,105568389.04,x
Acapulco de Juarez,2020,CA14,DIF Municipal,112470979.36,70616494.92,x
Acapulco de Juarez,2020,CA15,Dirección General de Ecología y Protección al Medio Ambiente,14713169.40,19325614.35,x
Acapulco de Juarez,2020,CA16,Instituto MunicipaI de la Mujer,7151983.80,7237893.84,x
Acapulco de Juarez,2020,CA17,Deuda Pública,165027879.13,287311367.45,x
Acapulco de Juarez,2020,CA18,ADEFAS,36000000.00,47835501.58,x
Acapulco de Juarez,2020,CA19,Sanamiento financiero,0.00,0.00,x
Acapulco de Juarez,2020,CA20,Coordinación General de La Zona Turística,0.00,0.00,x
Acapulco de Juarez,2020,CATOT,Total del gasto,3797246851.69,3797354071.42,x
Acapulco de Juarez,2019,CA01,Presidencia,85668326.20,96222310.41,x
Acapulco de Juarez,2019,CA02,Sindicatura Municipal,26226922.81,21448152.47,x
Acapulco de Juarez,2019,CA03,Regidurías,125422084.08,122912043.26,x
Acapulco de Juarez,2019,CA04,Secretaría General,263864713.12,277322628.50,x
Acapulco de Juarez,2019,CA05,Secretaría de Administración y Finanzas,479370754.24,717232469.48,x
Acapulco de Juarez,2019,CA06,Secretaría de Desarrollo Urbano y Obras Públicas,688928623.16,612134166.50,x
Acapulco de Juarez,2019,CA07,Secretaría de Desarrollo Social,152064038.40,109665622.53,x
Acapulco de Juarez,2019,CA08,Secretaría de Seguridad Pública,564715413.93,558645026.70,x
Acapulco de Juarez,2019,CA09,Contraloría General de Transparencia y Modernización Administrativa,26322397.42,26761753.47,x
Acapulco de Juarez,2019,CA10,Coordinación General de Servicios Públicos Municipales,586302703.48,618897729.57,x
Acapulco de Juarez,2019,CA11,Secretaría de Turismo,24090925.88,25839547.64,x
Acapulco de Juarez,2019,CA12,Dirección General de Salud,102953947.18,86491060.52,x
Acapulco de Juarez,2019,CA13,Secretaría de Planeación y Desarrollo Económico,110606159.35,107890594.59,x
Acapulco de Juarez,2019,CA14,DIF Municipal,110000000.00,128883861.13,x
Acapulco de Juarez,2019,CA15,Dirección General de Ecología y Protección al Medio Ambiente,15616154.21,17027123.56,x
Acapulco de Juarez,2019,CA16,Instituto MunicipaI de la Mujer,5728651.60,7251109.31,x
Acapulco de Juarez,2019,CA17,Deuda Pública,87060909.35,277489237.50,x
Acapulco de Juarez,2019,CA18,ADEFAS,28565809.46,24461477.89,x
Acapulco de Juarez,2019,CATOT,Total del gasto,3483508533.87,3836575915.03,x
Acapulco de Juarez,2018,CA01,Presidencia,103252533.57,88763235.89,x
Acapulco de Juarez,2018,CA02,Sindicatura Municipal,27830639.06,23817824.61,x
Acapulco de Juarez,2018,CA03,Regidurías,129451949.23,141207168.54,x
Acapulco de Juarez,2018,CA04,Secretaría General,177775789.32,168501138.52,x
Acapulco de Juarez,2018,CA05,Secretaría de Administración y Finanzas,704617533.12,662666231.84,x
Acapulco de Juarez,2018,CA06,Secretaría de Desarrollo Urbano y Obras Públicas,553866571.66,516704248.07,x
Acapulco de Juarez,2018,CA07,Secretaría de Desarrollo Social,175210876.26,131567545.48,x
Acapulco de Juarez,2018,CA08,Secretaría de Seguridad Pública,596007367.29,527368524.73,x
Acapulco de Juarez,2018,CA09,Contraloría General de Transparencia y Modernización Administrativa,26611374.13,24114137.56,x
Acapulco de Juarez,2018,CA10,Coordinación General de Servicios Públicos Municipales,657510241.56,488308806.60,x
Acapulco de Juarez,2018,CA11,Secretaría de Turismo,29515636.95,20859522.26,x
Acapulco de Juarez,2018,CA12,Dirección General de Salud,99202443.72,92122463.26,x
Acapulco de Juarez,2018,CA13,Secretaría de Planeación y Desarrollo Económico,153169757.87,137694779.89,x
Acapulco de Juarez,2018,CA14,DIF Municipal,107612896.00,115132242.10,x
Acapulco de Juarez,2018,CA15,Dirección General de Ecología y Protección al Medio Ambiente,16419798.56,14452813.99,x
Acapulco de Juarez,2018,CA16,Instituto MunicipaI de la Mujer,8440589.83,3372471.09,x
Acapulco de Juarez,2018,CA17,Deuda Pública,275657538.28,288797618.95,x
Acapulco de Juarez,2018,CA18,ADEFAS,166337105.00,148074412.84,x
Acapulco de Juarez,2018,CA19,Sanamiento financiero,0.00,0.00,x
Acapulco de Juarez,2018,CA20,Coordinación General de La Zona Turística,25613208.85,26098644.77,x
Acapulco de Juarez,2018,CATOT,Total del gasto,4034103850.26,3619623830.99,x
Aguascalientes,2022,CA1,H. AYUNTAMIENTO,89093357.00,87405752.00,x
Aguascalientes,2022,CA2,PRESIDENCIA MUNICIPAL,175747495.00,164317099.00,x
Aguascalientes,2022,CA3,SECRETARÍA DE COMUNICACION SOCIAL,53872051.00,53652297.00,x
Aguascalientes,2022,CA4,ÓRGANO INTERNO DE CONTROL,18889711.00,25809321.00,x
Aguascalientes,2022,CA5,SECRETARÍA DEL H.AYUNTAMIENTO Y DIRECCIÓN GENERAL DE GOBIERNO,211185823.00,207716753.00,x
Aguascalientes,2022,CA6,SECRETARIA DE FINANZAS PUBLICAS,218044344.00,121124723.00,x
Aguascalientes,2022,CA7,SECRETARIA DE OBRAS PUBLICAS,423221917.00,424627252.00,x
Aguascalientes,2022,CA8,SECRETARIA DE ADMINISTRACION,224947032.00,225826410.00,x
Aguascalientes,2022,CA9,SECRETARÍA DE DESARROLLO SOCIAL,177165904.00,191091162.00,x
