Estado,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Acapulco de Juarez,2018,CFG,Gobierno,2174524202,2085246657,x
Acapulco de Juarez,2018,CFG1,Legislación,90372783.52,99082360.8,x
Acapulco de Juarez,2018,CFG2,Justicia,9191897.87,3641112.29,x
Acapulco de Juarez,2018,CFG3,Coordinación de la Política de Gobierno,121453358.9,103674450.4,x
Acapulco de Juarez,2018,CFG4,Relaciones Exteriores,0,0,x
Acapulco de Juarez,2018,CFG5,Asuntos Financieros y Hacendarios,529696968.9,613616366.8,x
Acapulco de Juarez,2018,CFG6,Seguridad Nacional,0,0,x
Acapulco de Juarez,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,686213772.5,584557661.7,x
Acapulco de Juarez,2018,CFG8,Otros Servicios Generales,737595420.5,680674705.3,x
Acapulco de Juarez,2018,CFDS,Desarrollo Social,1492601688,1187954236,x
Acapulco de Juarez,2018,CFDS1,Protección Ambiental,433167079.1,292741706.3,x
Acapulco de Juarez,2018,CFDS2,Vivienda y Servicios a la Comunidad,590733060.8,500483395.9,x
Acapulco de Juarez,2018,CFDS3,Salud,99062443.72,83715308.99,x
Acapulco de Juarez,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",34616313.44,31729933.92,x
Acapulco de Juarez,2018,CFDS5,Educación,107392323.8,81615558.86,x
Acapulco de Juarez,2018,CFDS6,Protección Social,227630467.2,197668331.8,x
Acapulco de Juarez,2018,CFDS7,Otros Asuntos Sociales,0,0,x
Acapulco de Juarez,2018,CFDE,Desarrollo Económico,200640855.1,198348525.1,x
Acapulco de Juarez,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",44670824.46,33004527.26,x
Acapulco de Juarez,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",68727508.02,73832852.12,x
Acapulco de Juarez,2018,CFDE3,Combustibles y Energía,0,0,x
Acapulco de Juarez,2018,CFDE4,"Minería, Manufacturas y Construcción",0,0,x
Acapulco de Juarez,2018,CFDE5,Transporte,57726885.66,72320047.52,x
