Estado,Año,Código,Concepto,Aprobado,Devengado,
Acapulco de Juarez,2018,CFG,Gobierno,2174524202.21,2085246657.36,
Acapulco de Juarez,2018,CFG1,Legislación,90372783.52,99082360.80,
Acapulco de Juarez,2018,CFG2,Justicia,9191897.87,3641112.29,
Acapulco de Juarez,2018,CFG3,Coordinación de la Política de Gobierno,121453358.94,103674450.44,
Acapulco de Juarez,2018,CFG4,Relaciones Exteriores,0.00,0.00,
Acapulco de Juarez,2018,CFG5,Asuntos Financieros y Hacendarios,529696968.93,613616366.82,
Acapulco de Juarez,2018,CFG6,Seguridad Nacional,0.00,0.00,
Acapulco de Juarez,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,686213772.49,584557661.69,
Acapulco de Juarez,2018,CFG8,Otros Servicios Generales,737595420.46,680674705.32,
Acapulco de Juarez,2018,CFDS,Desarrollo Social,1492601687.96,1187954235.72,
Acapulco de Juarez,2018,CFDS1,Protección Ambiental,433167079.10,292741706.27,
Acapulco de Juarez,2018,CFDS2,Vivienda y Servicios a la Comunidad,590733060.78,500483395.89,
Acapulco de Juarez,2018,CFDS3,Salud,99062443.72,83715308.99,
Acapulco de Juarez,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",34616313.44,31729933.92,
Acapulco de Juarez,2018,CFDS5,Educación,107392323.75,81615558.86,
Acapulco de Juarez,2018,CFDS6,Protección Social,227630467.17,197668331.79,
Acapulco de Juarez,2018,CFDS7,Otros Asuntos Sociales,0.00,0.00,
Acapulco de Juarez,2018,CFDE,Desarrollo Económico,200640855.09,198348525.07,
Acapulco de Juarez,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",44670824.46,33004527.26,
Acapulco de Juarez,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",68727508.02,73832852.12,
Acapulco de Juarez,2018,CFDE3,Combustibles y Energía,0.00,0.00,
Acapulco de Juarez,2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,0.00,
Acapulco de Juarez,2018,CFDE5,Transporte,57726885.66,72320047.52,
Acapulco de Juarez,2018,CFDE6,Comunicaciones,0.00,0.00,
Acapulco de Juarez,2018,CFDE7,Turismo,29515636.95,19191098.17,
Acapulco de Juarez,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Acapulco de Juarez,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,0.00,0.00,
Acapulco de Juarez,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,166337105.00,148074412.84,
Acapulco de Juarez,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,0.00,0.00,
Acapulco de Juarez,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",0.00,0.00,
Acapulco de Juarez,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Acapulco de Juarez,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,166337105.00,148074412.84,
Acapulco de Juarez,2018,CFTOTAL,Total del gasto,4034103850.26,3619623830.99,
Aguascalientes,2018,CFG,Gobierno,1472729207.00,1512721516.00,
Aguascalientes,2018,CFG1,Legislación,59063353.00,61726143.00,
Aguascalientes,2018,CFG2,Justicia,27921950.00,30345281.00,
Aguascalientes,2018,CFG3,Coordinación de la Política de Gobierno,90493648.00,90745882.00,
Aguascalientes,2018,CFG4,Relaciones Exteriores,0.00,0.00,
Aguascalientes,2018,CFG5,Asuntos Financieros y Hacendarios,72250193.00,92277494.00,
Aguascalientes,2018,CFG6,Seguridad Nacional,0.00,0.00,
Aguascalientes,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,744537896.00,789234484.00,
Aguascalientes,2018,CFG8,Otros Servicios Generales,478462167.00,448392232.00,
Aguascalientes,2018,CFDS,Desarrollo Social,1264135086.00,1714513712.00,
Aguascalientes,2018,CFDS1,Protección Ambiental,10362840.00,36326245.00,
Aguascalientes,2018,CFDS2,Vivienda y Servicios a la Comunidad,997744338.00,1324964493.00,
Aguascalientes,2018,CFDS3,Salud,0.00,0.00,
Aguascalientes,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",42339082.00,47792407.00,
Aguascalientes,2018,CFDS5,Educación,8324779.00,8087253.00,
Aguascalientes,2018,CFDS6,Protección Social,200121939.00,290693133.00,
Aguascalientes,2018,CFDS7,Otros Asuntos Sociales,5242108.00,6650181.00,
Aguascalientes,2018,CFDE,Desarrollo Económico,58339459.00,67191732.00,
Aguascalientes,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",58339459.00,67191732.00,
Aguascalientes,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",0.00,0.00,
Aguascalientes,2018,CFDE3,Combustibles y Energía,0.00,0.00,
Aguascalientes,2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,0.00,
Aguascalientes,2018,CFDE5,Transporte,0.00,0.00,
Aguascalientes,2018,CFDE6,Comunicaciones,0.00,0.00,
Aguascalientes,2018,CFDE7,Turismo,0.00,0.00,
Aguascalientes,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Aguascalientes,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,0.00,0.00,
Aguascalientes,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,274035327.00,355058299.00,
Aguascalientes,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,52656580.00,51352986.00,
Aguascalientes,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",221378747.00,210666849.00,
Aguascalientes,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Aguascalientes,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,0.00,93038464.00,
Aguascalientes,2018,CFTOTAL,Total del gasto,3069239079.00,3649485259.00,
Apodaca,2018,CFG,Gobierno,540646611.16,625301655.81,
Apodaca,2018,CFG1,Legislación,15495359.00,14802850.36,
Apodaca,2018,CFG2,Justicia,11475724.00,3378714.20,
Apodaca,2018,CFG3,Coordinación de la Política de Gobierno,71022121.00,74093280.26,
Apodaca,2018,CFG4,Relaciones Exteriores,0.00,0.00,
Apodaca,2018,CFG5,Asuntos Financieros y Hacendarios,68129172.16,71593961.71,
Apodaca,2018,CFG6,Seguridad Nacional,0.00,0.00,
Apodaca,2018,CFG7,Asuntos de Orden Público y de Seguridad Interior,295887584.00,390481405.43,
Apodaca,2018,CFG8,Otros Servicios Generales,78636651.00,70951443.85,
Apodaca,2018,CFDS,Desarrollo Social,1373052699.00,1363203933.60,
Apodaca,2018,CFDS1,Protección Ambiental,5569832.00,6338973.97,
Apodaca,2018,CFDS2,Vivienda y Servicios a la Comunidad,1079314881.00,1044146645.96,
Apodaca,2018,CFDS3,Salud,9587908.00,4768664.28,
Apodaca,2018,CFDS4,"Recreación, Cultura y Otras Manifestaciones Sociales",81097288.00,92148956.61,
Apodaca,2018,CFDS5,Educación,65641197.00,60945874.27,
Apodaca,2018,CFDS6,Protección Social,58697585.00,73133686.45,
Apodaca,2018,CFDS7,Otros Asuntos Sociales,73144008.00,81721132.06,
Apodaca,2018,CFDE,Desarrollo Económico,7117579.00,7707796.33,
Apodaca,2018,CFDE1,"Asuntos Económicos, Comerciales y Laborales en General",5290187.00,4805394.60,
Apodaca,2018,CFDE2,"Agropecuaria, Silvicultura, Pesca y Caza",0.00,0.00,
Apodaca,2018,CFDE3,Combustibles y Energía,0.00,0.00,
Apodaca,2018,CFDE4,"Minería, Manufacturas y Construcción",0.00,0.00,
Apodaca,2018,CFDE5,Transporte,1827392.00,2902401.73,
Apodaca,2018,CFDE6,Comunicaciones,0.00,0.00,
Apodaca,2018,CFDE7,Turismo,0.00,0.00,
Apodaca,2018,CFDE8,"Ciencia, Tecnología e Innovación",0.00,0.00,
Apodaca,2018,CFDE9,Otras Industrias y Otros Asuntos Económicos,0.00,0.00,
Apodaca,2018,CFOA,Otras no Clasificadas en Funciones Anteriores,70524671.84,34272560.67,
Apodaca,2018,CFOA1,Transacciones de la Deuda Publica / Costo Financiero de la Deuda,66524671.84,32748119.35,
Apodaca,2018,CFOA2,"Transferencias, Participaciones y Aportaciones entre Diferentes Niveles y Ordenes de Gobierno",0.00,0.00,
Apodaca,2018,CFOA3,Saneamiento del Sistema Financiero,0.00,0.00,
Apodaca,2018,CFOA4,Adeudos de Ejercicios Fiscales Anteriores,4000000.00,1524441.32,
Apodaca,2018,CFTOTAL,Total del gasto,1991341561.00,2030485946.41,
Atizapan de Zaragoza,2018,CFG,Gobierno,1772314807.73,1517798262.79,
