Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Acapulco de Juarez,2021,COG01,Servicios Personales,2034383835.00,2140638794.00,x
Acapulco de Juarez,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,566694457.90,611148705.20,x
Acapulco de Juarez,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,223886133.50,205286748.80,x
Acapulco de Juarez,2021,COG13,Remuneraciones Adicionales y Especiales,400222039.00,392351372.90,x
Acapulco de Juarez,2021,COG14,Seguridad Social,180699472.10,267630859.30,x
Acapulco de Juarez,2021,COG15,Otras Prestaciones Sociales y Económicas,562963220.00,578599641.10,x
Acapulco de Juarez,2021,COG16,Previsiones,99918512.08,84255157.62,x
Acapulco de Juarez,2021,COG17,Pago de Estímulos a Servidores Públicos,0.00,1366309.30,x
Acapulco de Juarez,2021,COG02,Materiales y Suministros,137209894.60,122047813.50,x
Acapulco de Juarez,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",25406928.86,23188212.79,x
Acapulco de Juarez,2021,COG22,Alimentos y Utensilios,432000.00,2477590.90,x
Acapulco de Juarez,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,42000.00,332200.01,x
Acapulco de Juarez,2021,COG24,Materiales y Artículos de Construcción y Reparación,31379540.12,10635833.71,x
Acapulco de Juarez,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",15034205.40,8938445.67,x
Acapulco de Juarez,2021,COG26,"Combustibles, Lubricantes y Aditivos",43414502.52,67228984.03,x
Acapulco de Juarez,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",5818762.44,6301798.43,x
Acapulco de Juarez,2021,COG28,Materiales y Suministros para Seguridad,480000.00,0.00,x
Acapulco de Juarez,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",15201955.24,2944747.97,x
Acapulco de Juarez,2021,COG03,Servicios Generales,494496630.00,448796017.70,x
Acapulco de Juarez,2021,COG31,Servicios Básicos,16541159.76,16333095.15,x
Acapulco de Juarez,2021,COG32,Servicios de Arrendamiento,56463043.68,56696259.60,x
Acapulco de Juarez,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",46512201.28,28452041.14,x
Acapulco de Juarez,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",10076000.04,10837790.04,x
Acapulco de Juarez,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",233236432.90,104673853.60,x
Acapulco de Juarez,2021,COG36,Servicios de Comunicación Social y Publicidad,34359799.96,15831313.34,x
Acapulco de Juarez,2021,COG37,Servicios de Traslados y Viáticos,3085388.88,785869.71,x
Acapulco de Juarez,2021,COG38,Servicios Oficiales,4851501.09,11527781.63,x
Acapulco de Juarez,2021,COG39,Otros Servicios Generales,89371102.45,203658013.40,x
Acapulco de Juarez,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",232518776.20,214210814.00,x
Acapulco de Juarez,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,x
Acapulco de Juarez,2021,COG42,Transferencias al Resto del Sector Público,98500000.00,114053902.90,x
