Municipio,Año,Código,Concepto,Aprobado,Devengado,
Acapulco de Juarez,2021,COG01, Servicios Personales               ,2034383834.60,2140638794.21,
Acapulco de Juarez,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,566694457.88,611148705.24,
Acapulco de Juarez,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,223886133.54,205286748.78,
Acapulco de Juarez,2021,COG13,Remuneraciones Adicionales y Especiales,400222039.01,392351372.86,
Acapulco de Juarez,2021,COG14,Seguridad Social,180699472.13,267630859.27,
Acapulco de Juarez,2021,COG15,Otras Prestaciones Sociales y Económicas,562963219.96,578599641.14,
Acapulco de Juarez,2021,COG16,Previsiones,99918512.08,84255157.62,
Acapulco de Juarez,2021,COG17,Pago de Estímulos a Servidores Públicos,0.00,1366309.30,
Acapulco de Juarez,2021,COG02,Materiales y Suministros           ,137209894.58,122047813.51,
Acapulco de Juarez,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",25406928.86,23188212.79,
Acapulco de Juarez,2021,COG22,Alimentos y Utensilios,432000.00,2477590.90,
Acapulco de Juarez,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,42000.00,332200.01,
Acapulco de Juarez,2021,COG24,Materiales y Artículos de Construcción y Reparación,31379540.12,10635833.71,
Acapulco de Juarez,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",15034205.40,8938445.67,
Acapulco de Juarez,2021,COG26,"Combustibles, Lubricantes y Aditivos",43414502.52,67228984.03,
Acapulco de Juarez,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",5818762.44,6301798.43,
Acapulco de Juarez,2021,COG28,Materiales y Suministros para Seguridad,480000.00,0.00,
Acapulco de Juarez,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",15201955.24,2944747.97,
Acapulco de Juarez,2021,COG03,Servicios Generales                ,494496630.02,448796017.65,
Acapulco de Juarez,2021,COG31,Servicios Básicos,16541159.76,16333095.15,
Acapulco de Juarez,2021,COG32,Servicios de Arrendamiento,56463043.68,56696259.60,
Acapulco de Juarez,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",46512201.28,28452041.14,
