Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Acapulco de Juarez,2021,COG01, Servicios Personales               ,2034383834.60,2140638794.21,x
Acapulco de Juarez,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,566694457.88,611148705.24,x
Acapulco de Juarez,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,223886133.54,205286748.78,x
Acapulco de Juarez,2021,COG13,Remuneraciones Adicionales y Especiales,400222039.01,392351372.86,x
Acapulco de Juarez,2021,COG14,Seguridad Social,180699472.13,267630859.27,x
Acapulco de Juarez,2021,COG15,Otras Prestaciones Sociales y Económicas,562963219.96,578599641.14,x
Acapulco de Juarez,2021,COG16,Previsiones,99918512.08,84255157.62,x
Acapulco de Juarez,2021,COG17,Pago de Estímulos a Servidores Públicos,0.00,1366309.30,x
Acapulco de Juarez,2021,COG02,Materiales y Suministros           ,137209894.58,122047813.51,x
Acapulco de Juarez,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",25406928.86,23188212.79,x
Acapulco de Juarez,2021,COG22,Alimentos y Utensilios,432000.00,2477590.90,x
Acapulco de Juarez,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,42000.00,332200.01,x
Acapulco de Juarez,2021,COG24,Materiales y Artículos de Construcción y Reparación,31379540.12,10635833.71,x
Acapulco de Juarez,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",15034205.40,8938445.67,x
Acapulco de Juarez,2021,COG26,"Combustibles, Lubricantes y Aditivos",43414502.52,67228984.03,x
Acapulco de Juarez,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",5818762.44,6301798.43,x
Acapulco de Juarez,2021,COG28,Materiales y Suministros para Seguridad,480000.00,0.00,x
Acapulco de Juarez,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",15201955.24,2944747.97,x
Acapulco de Juarez,2021,COG03,Servicios Generales                ,494496630.02,448796017.65,x
Acapulco de Juarez,2021,COG31,Servicios Básicos,16541159.76,16333095.15,x
Acapulco de Juarez,2021,COG32,Servicios de Arrendamiento,56463043.68,56696259.60,x
Acapulco de Juarez,2021,COG33,"Servicios Profesionales, Científicos, Técnicos y Otros Servicios",46512201.28,28452041.14,x
Acapulco de Juarez,2021,COG34,"Servicios Financieros, Bancarios y Comerciales",10076000.04,10837790.04,x
Acapulco de Juarez,2021,COG35,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",233236432.88,104673853.63,x
Acapulco de Juarez,2021,COG36,Servicios de Comunicación Social y Publicidad,34359799.96,15831313.34,x
Acapulco de Juarez,2021,COG37,Servicios de Traslados y Viáticos,3085388.88,785869.71,x
Acapulco de Juarez,2021,COG38,Servicios Oficiales,4851501.09,11527781.63,x
Acapulco de Juarez,2021,COG39,Otros Servicios Generales,89371102.45,203658013.41,x
Acapulco de Juarez,2021,COG04,"Transferencias, Asignaciones, Subsidios y Otras Ayudas",232518776.24,214210814.02,x
Acapulco de Juarez,2021,COG41,Transferencias Internas y Asignaciones del Sector Público,0.00,0.00,x
Acapulco de Juarez,2021,COG42,Transferencias al Resto del Sector Público,98500000.00,114053902.94,x
Acapulco de Juarez,2021,COG43,Subsidios y Subvenciones,1719999.00,10437038.99,x
Acapulco de Juarez,2021,COG44,Ayudas Sociales,132298777.24,89719872.09,x
Acapulco de Juarez,2021,COG45,Pensiones y Jubilaciones,0.00,0.00,x
Acapulco de Juarez,2021,COG46,"Transferencias a Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,x
Acapulco de Juarez,2021,COG47,Transferencias a la Seguridad Social,0.00,0.00,x
Acapulco de Juarez,2021,COG48,Donativos,0.00,0.00,x
Acapulco de Juarez,2021,COG49,Transferencias al Exterior,0.00,0.00,x
Acapulco de Juarez,2021,COG05,"Bienes Muebles, Inmuebles e Intangibles",66632650.00,19605543.50,x
Acapulco de Juarez,2021,COG51,Mobiliario y Equipo de Administración,43170000.04,3093773.61,x
Acapulco de Juarez,2021,COG52,Mobiliario y Equipo Educacional y Recreativo,524650.04,321900.00,x
Acapulco de Juarez,2021,COG53,Equipo e Instrumental Médico y de Laboratorio,4479999.96,5064305.13,x
Acapulco de Juarez,2021,COG54,Vehículos y Equipo de Transporte,1312000.00,0.00,x
Acapulco de Juarez,2021,COG55,Equipo de Defensa y Seguridad,0.00,0.00,x
Acapulco de Juarez,2021,COG56,"Maquinaria, Otros Equipos y Herramientas",6645999.92,930564.76,x
Acapulco de Juarez,2021,COG57,Activos Biológicos,500000.04,0.00,x
Acapulco de Juarez,2021,COG58,Bienes Inmuebles,0.00,0.00,x
Acapulco de Juarez,2021,COG59,Activos Intangibles,10000000.00,10195000.00,x
Acapulco de Juarez,2021,COG06,Inversión Pública                  ,600420978.28,677094480.00,x
Acapulco de Juarez,2021,COG61,Obra Pública en Bienes de Dominio Público,599820978.28,677094480.00,x
Acapulco de Juarez,2021,COG62,Obra Pública en Bienes Propios,600000.00,0.00,x
Acapulco de Juarez,2021,COG63,Proyectos Productivos y Acciones de Fomento,0.00,0.00,x
Acapulco de Juarez,2021,COG07,Inversiones Financieras y Otras Provisiones,0.00,0.00,x
Acapulco de Juarez,2021,COG71,Inversiones para el Fomento de Actividades Productivas,0.00,0.00,x
Acapulco de Juarez,2021,COG72,Acciones y Participaciones de Capital,0.00,0.00,x
Acapulco de Juarez,2021,COG73,Compra de Títulos y Valores,0.00,0.00,x
Acapulco de Juarez,2021,COG74,Concesión de Préstamos,0.00,0.00,x
Acapulco de Juarez,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,x
Acapulco de Juarez,2021,COG76,Otras Inversiones Financieras,0.00,0.00,x
Acapulco de Juarez,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,0.00,0.00,x
Acapulco de Juarez,2021,COG08,Participaciones y Aportaciones     ,0.00,0.00,x
Acapulco de Juarez,2021,COG81,Participaciones,0.00,0.00,x
Acapulco de Juarez,2021,COG82,Aportaciones,0.00,0.00,x
Acapulco de Juarez,2021,COG83,Convenios,0.00,0.00,x
Acapulco de Juarez,2021,COG09,Deuda Pública                      ,286028135.09,326141225.78,x
Acapulco de Juarez,2021,COG91,Amortización de la Deuda Pública,144999999.96,227321821.00,x
Acapulco de Juarez,2021,COG92,Intereses de la Deuda Pública,35000000.09,28893313.00,x
Acapulco de Juarez,2021,COG93,Comisiones de la Deuda Pública,0.00,0.00,x
Acapulco de Juarez,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,x
Acapulco de Juarez,2021,COG95,Costo por Coberturas,0.00,0.00,x
Acapulco de Juarez,2021,COG96,Apoyos Financieros,0.00,0.00,x
Acapulco de Juarez,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,106028135.04,69926091.78,x
Acapulco de Juarez,2021,COGTOT,Total del Gasto,3851690898.81,3948534688.67,x
Aguascalientes,2021,COG01, Servicios Personales               ,1687461626.00,1727979364.00,x
Aguascalientes,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,710642203.00,761663460.00,x
Aguascalientes,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,61528888.00,68093281.00,x
Aguascalientes,2021,COG13,Remuneraciones Adicionales y Especiales,316914432.00,334258083.00,x
Aguascalientes,2021,COG14,Seguridad Social,517633492.00,535882820.00,x
Aguascalientes,2021,COG15,Otras Prestaciones Sociales y Económicas,63513661.00,25119019.00,x
Aguascalientes,2021,COG16,Previsiones,10819037.00,0.00,x
Aguascalientes,2021,COG17,Pago de Estímulos a Servidores Públicos,6409913.00,2962701.00,x
Aguascalientes,2021,COG02,Materiales y Suministros           ,558203038.00,557884062.00,x
Aguascalientes,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",17782801.00,27718123.00,x
Aguascalientes,2021,COG22,Alimentos y Utensilios,17880814.00,11591838.00,x
Aguascalientes,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,0.00,16126.00,x
Aguascalientes,2021,COG24,Materiales y Artículos de Construcción y Reparación,39297041.00,48615717.00,x
Aguascalientes,2021,COG25,"Productos Químicos, Farmacéuticos y de Laboratorio",18351073.00,42550639.00,x
Aguascalientes,2021,COG26,"Combustibles, Lubricantes y Aditivos",338731454.00,297207747.00,x
Aguascalientes,2021,COG27,"Vestuarios, Blancos, Prendas de protección y Artículos Deportivos",30792097.00,21966607.00,x
Aguascalientes,2021,COG28,Materiales y Suministros para Seguridad,0.00,44866.00,x
Aguascalientes,2021,COG29,"Herramientas, Refacciones y Accesorios Menores",95367758.00,108172399.00,x
Aguascalientes,2021,COG03,Servicios Generales                ,635197173.00,819646516.00,x
Aguascalientes,2021,COG31,Servicios Básicos,157118853.00,275985368.00,x
Aguascalientes,2021,COG32,Servicios de Arrendamiento,24019378.00,62725246.00,x
