Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Acapulco de Juarez,2018,EAA,Impuestos,538334278.84,720703993.52,x
Acapulco de Juarez,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Acapulco de Juarez,2018,EAC,Contribuciones de Mejoras,0.00,0.00,x
Acapulco de Juarez,2018,EAD,Derechos,226023658.01,233684906.12,x
Acapulco de Juarez,2018,EAE,Productos,6095550.38,5594199.52,x
Acapulco de Juarez,2018,EAF,Aprovechamientos,83650511.93,82582066.50,x
Acapulco de Juarez,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,x
Acapulco de Juarez,2018,EAH,Participaciones,1042690033.02,1134508148.27,x
Acapulco de Juarez,2018,EAH1,Fondo General de Participaciones,647425799.00,737040011.62,x
Acapulco de Juarez,2018,EAH2,Fondo de Fomento Municipal,137644988.60,189974007.00,x
Acapulco de Juarez,2018,EAH3,Fondo de Fiscalización y Recaudación,32138626.00,38503461.71,x
Acapulco de Juarez,2018,EAH4,Fondo de Compensación,0.00,39073419.56,x
Acapulco de Juarez,2018,EAH5,Fondo de Extracción de hidrocarburos,0.00,0.00,x
Acapulco de Juarez,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,0.00,11559740.69,x
Acapulco de Juarez,2018,EAH7,0.136% de la Recaudación Federal Participable,3267163.86,4431853.00,x
Acapulco de Juarez,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Acapulco de Juarez,2018,EAH9,Gasolinas y Diésel,111831881.00,82522759.69,x
Acapulco de Juarez,2018,EAH10,Fondo de Impuesto Sobre la Renta,110381574.56,31402895.00,x
Acapulco de Juarez,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Acapulco de Juarez,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,16164668.11,16361776.35,x
Acapulco de Juarez,2018,EAI1,Tenencia o Uso de Vehículos,7873878.81,2854548.53,x
Acapulco de Juarez,2018,EAI2,Fondo de Compensación ISAN,7210410.10,1132592.92,x
Acapulco de Juarez,2018,EAI3,Impuesto Sobre Automóviles Nuevos,1080379.20,3793295.15,x
Acapulco de Juarez,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,0.00,0.00,x
Acapulco de Juarez,2018,EAI5,Otros Incentivos Económicos,0.00,8581339.75,x
Acapulco de Juarez,2018,EAJ,Transferencias,0.00,0.00,x
Acapulco de Juarez,2018,EAK,Convenios,25744299.81,160000000.00,x
Acapulco de Juarez,2018,EAK1,Otros Convenios y Subsidios,25744299.81,160000000.00,x
Acapulco de Juarez,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,0.00,x
Acapulco de Juarez,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Acapulco de Juarez,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,0.00,x
Acapulco de Juarez,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,1938703000.10,2353435090.28,x
Acapulco de Juarez,2018,EAM,Aportaciones,990055999.92,1076085581.10,x
Acapulco de Juarez,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,0.00,0.00,x
Acapulco de Juarez,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,0.00,0.00,x
Acapulco de Juarez,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,542831631.80,585006804.10,x
Acapulco de Juarez,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,447224368.12,491078777.00,x
Acapulco de Juarez,2018,EAM5,Fondo de Aportaciones Múltiples,0.00,0.00,x
Acapulco de Juarez,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,0.00,0.00,x
Acapulco de Juarez,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,0.00,0.00,x
Acapulco de Juarez,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,0.00,0.00,x
Acapulco de Juarez,2018,EAN,Convenios,95552000.00,100884723.54,x
Acapulco de Juarez,2018,EAN1,Convenios de Protección Social en Salud,0.00,0.00,x
Acapulco de Juarez,2018,EAN2,Convenios de Descentralización,0.00,0.00,x
Acapulco de Juarez,2018,EAN3,Convenios de Reasignación,0.00,0.00,x
Acapulco de Juarez,2018,EAN4,Otros Convenios y Subsidios,95552000.00,100884723.54,x
Acapulco de Juarez,2018,EAO,Fondos Distintos de Aportaciones ,0.00,0.00,x
Acapulco de Juarez,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0.00,0.00,x
Acapulco de Juarez,2018,EAO2,Fondo Minero,0.00,0.00,x
Acapulco de Juarez,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0.00,0.00,x
Acapulco de Juarez,2018,EAQ,Otras Transferencias Federales Etiquetadas,0.00,0.00,x
Acapulco de Juarez,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,1085607999.92,1176970304.64,x
Acapulco de Juarez,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0.00,180000000.00,x
Acapulco de Juarez,2018,EAR1,Ingresos Derivados de Financiamientos,0.00,180000000.00,x
Acapulco de Juarez,2018,EATOTAL,TOTAL DE LOS INGRESOS,3024311000.02,3710405394.92,x
Aguascalientes,2018,EAA,Impuestos,405764320.00,496346733.00,x
Aguascalientes,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Aguascalientes,2018,EAC,Contribuciones de Mejoras,520000.00,269594.00,x
Aguascalientes,2018,EAD,Derechos,479457359.00,516245150.00,x
Aguascalientes,2018,EAE,Productos,4201600.00,50407269.00,x
Aguascalientes,2018,EAF,Aprovechamientos,26696800.00,43289419.00,x
Aguascalientes,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,x
Aguascalientes,2018,EAH,Participaciones,1352667997.00,1433560626.00,x
Aguascalientes,2018,EAH1,Fondo General de Participaciones,821409000.00,888562766.00,x
Aguascalientes,2018,EAH2,Fondo de Fomento Municipal,382362998.00,386477637.00,x
Aguascalientes,2018,EAH3,Fondo de Fiscalización y Recaudación,38669999.00,41699014.00,x
Aguascalientes,2018,EAH4,Fondo de Compensación,0.00,0.00,x
Aguascalientes,2018,EAH5,Fondo de Extracción de hidrocarburos,0.00,0.00,x
Aguascalientes,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,13276000.00,17092054.00,x
Aguascalientes,2018,EAH7,0.136% de la Recaudación Federal Participable,0.00,0.00,x
Aguascalientes,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Aguascalientes,2018,EAH9,Gasolinas y Diésel,30571000.00,33452812.00,x
Aguascalientes,2018,EAH10,Fondo de Impuesto Sobre la Renta,66379000.00,66276343.00,x
Aguascalientes,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Aguascalientes,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,15265005.00,22834054.00,x
Aguascalientes,2018,EAI1,Tenencia o Uso de Vehículos,413008.00,960678.00,x
Aguascalientes,2018,EAI2,Fondo de Compensación ISAN,13292998.00,19162334.00,x
Aguascalientes,2018,EAI3,Impuesto Sobre Automóviles Nuevos,0.00,0.00,x
Aguascalientes,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,0.00,0.00,x
Aguascalientes,2018,EAI5,Otros Incentivos Económicos,1558999.00,2711042.00,x
Aguascalientes,2018,EAJ,Transferencias,0.00,200000.00,x
Aguascalientes,2018,EAK,Convenios,0.00,0.00,x
Aguascalientes,2018,EAK1,Otros Convenios y Subsidios,0.00,0.00,x
Aguascalientes,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,874875.00,x
Aguascalientes,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Aguascalientes,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,874875.00,x
Aguascalientes,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,2284573081.00,2564027720.00,x
Aguascalientes,2018,EAM,Aportaciones,668667998.00,646373857.00,x
Aguascalientes,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,0.00,0.00,x
Aguascalientes,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,0.00,0.00,x
Aguascalientes,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,148501003.00,121869970.00,x
Aguascalientes,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,520166995.00,524503887.00,x
Aguascalientes,2018,EAM5,Fondo de Aportaciones Múltiples,0.00,0.00,x
Aguascalientes,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,0.00,0.00,x
Aguascalientes,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,0.00,0.00,x
Aguascalientes,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,0.00,0.00,x
Aguascalientes,2018,EAN,Convenios,83550000.00,109885768.00,x
Aguascalientes,2018,EAN1,Convenios de Protección Social en Salud,0.00,0.00,x
Aguascalientes,2018,EAN2,Convenios de Descentralización,0.00,0.00,x
Aguascalientes,2018,EAN3,Convenios de Reasignación,0.00,0.00,x
Aguascalientes,2018,EAN4,Otros Convenios y Subsidios,83550000.00,109885768.00,x
Aguascalientes,2018,EAO,Fondos Distintos de Aportaciones ,0.00,0.00,x
Aguascalientes,2018,EAO1,Fondo para Entidades Federativas y Municipios Productores de Hidrocarburos,0.00,0.00,x
Aguascalientes,2018,EAO2,Fondo Minero,0.00,0.00,x
Aguascalientes,2018,EAP,"Transferencias, Subsidios y Subvenciones, y Pensiones y Jubilaciones",0.00,0.00,x
Aguascalientes,2018,EAQ,Otras Transferencias Federales Etiquetadas,32448000.00,-3803299.00,x
Aguascalientes,2018,EATTFE,TOTAL DE TRANSFERENCIAS FEDERALES ETIQUETADAS,784665998.00,752456326.00,x
Aguascalientes,2018,EAR,INGRESOS DERIVADOS DE FINANCIAMIENTOS,0.00,0.00,x
Aguascalientes,2018,EAR1,Ingresos Derivados de Financiamientos,0.00,0.00,x
Aguascalientes,2018,EATOTAL,TOTAL DE LOS INGRESOS,3069239079.00,3316484046.00,x
Apodaca,2018,EAA,Impuestos,445106617.00,578317418.17,x
Apodaca,2018,EAB,Cuotas y Aportaciones de Seguridad Social,0.00,0.00,x
Apodaca,2018,EAC,Contribuciones de Mejoras,0.00,18500000.00,x
Apodaca,2018,EAD,Derechos,91138583.00,162065224.60,x
Apodaca,2018,EAE,Productos,17150697.00,22630530.67,x
Apodaca,2018,EAF,Aprovechamientos,70822618.00,88030235.58,x
Apodaca,2018,EAG,Ingresos por Ventas de Bienes y Servicios,0.00,0.00,x
Apodaca,2018,EAH,Participaciones,457368439.00,476641265.54,x
Apodaca,2018,EAH1,Fondo General de Participaciones,339331800.00,345370159.69,x
Apodaca,2018,EAH2,Fondo de Fomento Municipal,41808499.00,48757017.44,x
Apodaca,2018,EAH3,Fondo de Fiscalización y Recaudación,13598654.00,16018450.74,x
Apodaca,2018,EAH4,Fondo de Compensación,0.00,0.00,x
Apodaca,2018,EAH5,Fondo de Extracción de hidrocarburos,1215336.00,1331418.13,x
Apodaca,2018,EAH6,Impuesto Especial Sobre Producción y Servicios,14155447.00,12749402.72,x
Apodaca,2018,EAH7,0.136% de la Recaudación Federal Participable,0.00,0.00,x
Apodaca,2018,EAH8,3.17% Sobre Extracción de Petroleo,0.00,0.00,x
Apodaca,2018,EAH9,Gasolinas y Diésel,15690096.00,14946900.74,x
Apodaca,2018,EAH10,Fondo de Impuesto Sobre la Renta,31568607.00,37467916.08,x
Apodaca,2018,EAH11,Fondo de Estabilización de los Ingresos de las Entidades Federativas,0.00,0.00,x
Apodaca,2018,EAI,Incentivos Derivados de la Colaboración Fiscal,169779936.00,222259052.21,x
Apodaca,2018,EAI1,Tenencia o Uso de Vehículos,3366546.00,6576679.11,x
Apodaca,2018,EAI2,Fondo de Compensación ISAN,0.00,0.00,x
Apodaca,2018,EAI3,Impuesto Sobre Automóviles Nuevos,12756071.00,13822266.71,x
Apodaca,2018,EAI4,Fondo de Compensación de Repecos-Intermedios,0.00,0.00,x
Apodaca,2018,EAI5,Otros Incentivos Económicos,153657319.00,201860106.39,x
Apodaca,2018,EAJ,Transferencias,0.00,0.00,x
Apodaca,2018,EAK,Convenios,0.00,3120577.32,x
Apodaca,2018,EAK1,Otros Convenios y Subsidios,0.00,3120577.32,x
Apodaca,2018,EAL,Otros Ingresos de Libre Disposición ,0.00,1469466.90,x
Apodaca,2018,EAL1,Participaciones en Ingresos Locales,0.00,0.00,x
Apodaca,2018,EAL2,Otros Ingresos en Libre Disposición,0.00,1469466.90,x
Apodaca,2018,EATILD,TOTAL DE INGRESOS DE LIBRE DISPOSICIÓN,1251366890.00,1573033770.99,x
Apodaca,2018,EAM,Aportaciones,379802482.00,396013416.95,x
Apodaca,2018,EAM1,Fondo de Aportaciones para la Nómina Educativa y gasto operativo,0.00,0.00,x
Apodaca,2018,EAM2,Fondo de Aportaciones para los servicios de Salud,0.00,0.00,x
Apodaca,2018,EAM3,Fondo de Aportaciones para la infraestructura Social,37963483.00,33544091.97,x
Apodaca,2018,EAM4,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,341838999.00,362469324.98,x
Apodaca,2018,EAM5,Fondo de Aportaciones Múltiples,0.00,0.00,x
Apodaca,2018,EAM6,Fondo de Aportaciones para la Educación Tecnológica y de adultos,0.00,0.00,x
Apodaca,2018,EAM7,Fondo de Aportaciones para la Seguridad Pública de los Estados y del Distrito Federal,0.00,0.00,x
Apodaca,2018,EAM8,Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,0.00,0.00,x
Apodaca,2018,EAN,Convenios,0.00,17906108.34,x
Apodaca,2018,EAN1,Convenios de Protección Social en Salud,0.00,0.00,x
Apodaca,2018,EAN2,Convenios de Descentralización,0.00,0.00,x
Apodaca,2018,EAN3,Convenios de Reasignación,0.00,0.00,x
Apodaca,2018,EAN4,Otros Convenios y Subsidios,0.00,17906108.34,x
Apodaca,2018,EAO,Fondos Distintos de Aportaciones ,0.00,0.00,x
