Municipio,Año,Clasificación,Data,Fuente,Observaciones
Acapulco de Juarez,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Aguascalientes,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Apodaca,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Atizapan de Zaragoza,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Campeche,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Benito Juarez (Cancun),2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Celaya,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Chihuahua,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Chilpancingo de los Bravo,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Chimalhuacán,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Colima,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Cuautitlan Izcalli,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Cuernavaca,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Culiacan,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Durango,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Ecatepec de Morelos,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
General Escobedo,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Guadalajara,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Guadalupe,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Guanajuato,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Hermosillo,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Irapuato,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Ixtapaluca,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Juarez,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
La Paz,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Leon,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Matamoros,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Mazatlan,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Merida,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Mexicali,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Monterrey,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Morelia,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Naucalpan de Juarez,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Nezahualcoyotl,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Oaxaca de Juarez,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Othon P. Blanco,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Pachuca de Soto,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Puebla,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Queretaro,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Reynosa,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Saltillo,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
San Luis Potosi,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tlaxcala,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tecamac,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tepic,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tijuana,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tlajomulco de Zuniga,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tlalnepantla de Baz,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
San Pedro Tlaquepaque,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Toluca,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tonala,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Torreon,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tultitlan,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Tuxtla Gutierrez,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Veracruz,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Victoria,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Villahermosa (Centro),2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Xalapa,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
Zacatecas,2018,COG,4T2018,"Cuenta Pública Municipal, procesados por Política Colectiva",-
